partID,productLine,prodCategory
part00005ba,line4c,Liquids
part000b57d,line61,Machines
part00123bf,linec1,Marketables
part0021fc9,line61,Machines
part0027e86,line2f,Machines
part002ed95,line4c,Liquids
part0030856,lineb8,Machines
part0033dfd,line49,Liquids
part0037a2a,linea3,Marketables
part003caee,linea3,Marketables
part0041b51,linea3,Marketables
part004e841,line56,Machines
part004f4f6,linec1,Marketables
part0053625,line55,SpareParts
part0053f5c,line55,SpareParts
part0055b4c,line55,SpareParts
part0058d49,line55,SpareParts
part0061ee0,line55,SpareParts
part0064ea5,line6d,Machines
part0066e85,line55,SpareParts
part006853c,line55,SpareParts
part0068c14,linec1,Marketables
part0069b5a,line71,Machines
part006d5ab,line55,SpareParts
part007655b,lined6,Liquids
part0077718,line2f,Machines
part007a3db,line4b,Machines
part007a410,linea3,Marketables
part007b2f6,linec1,Marketables
part007b662,line61,Machines
part0082ef7,line6d,Machines
part008482f,lined6,Liquids
part0086777,line55,SpareParts
part008e66e,linec1,Marketables
part008f2b2,linea3,Marketables
part009115e,linea3,Marketables
part0091ad4,linea3,Marketables
part009fcd1,linec1,Marketables
part00a9bab,line4b,Machines
part00b3285,linea3,Marketables
part00b5764,line55,SpareParts
part00c53fe,linea3,Marketables
part00cfb72,linec1,Marketables
part00d2957,linea3,Marketables
part00dd8ed,line94,Machines
part00dfd01,linec1,Marketables
part00e1ad5,line9b,Machines
part00e6db6,linec1,Marketables
part00e7d22,lined6,Liquids
part00ecedf,linea3,Marketables
part00ee5d1,lined6,Liquids
part00f09de,line55,SpareParts
part00f9ba5,line4c,Liquids
part00fa593,line55,SpareParts
part01003d2,linea3,Marketables
part010d58f,lined6,Liquids
part010f7a8,line55,SpareParts
part0115426,line55,SpareParts
part011c28c,line55,SpareParts
part011ebde,line55,SpareParts
part012233c,linea3,Marketables
part01253bf,line55,SpareParts
part012b2ed,line94,Machines
part012e994,line55,SpareParts
part012f9c,linec1,Marketables
part013320f,line9b,Machines
part0133b15,line49,Liquids
part01465de,line6d,Machines
part0147e1b,linec1,Marketables
part01505a0,lined6,Liquids
part015191f,lined6,Liquids
part0151978,linec1,Marketables
part015301d,lineb8,Machines
part0158598,line9b,Machines
part015f87f,line9b,Machines
part0160902,line49,Liquids
part0164a70,lined6,Liquids
part0164be9,linea3,Marketables
part0171a18,line49,Liquids
part0171ec0,linea3,Marketables
part017551e,lined6,Liquids
part0175df5,linea3,Marketables
part017d72c,line55,SpareParts
part0181993,line55,SpareParts
part0181bbe,lined6,Liquids
part0184dc7,linee2,Machines
part018ce9e,line55,SpareParts
part01946c6,line55,SpareParts
part0194ea7,line9b,Machines
part019527e,linea3,Marketables
part0195482,line5f,Machines
part01a337d,linea3,Marketables
part01a5b3d,linec1,Marketables
part01ad127,lined6,Liquids
part01b7e8,line4c,Liquids
part01c53d2,linec1,Marketables
part01c6dcc,line55,SpareParts
part01c7f5a,linec1,Marketables
part01c8242,linec1,Marketables
part01c85f3,line6d,Machines
part01cb3e5,line9b,Machines
part01cbb76,linea3,Marketables
part01d9022,linea3,Marketables
part01d9699,line55,SpareParts
part01e932d,line55,SpareParts
part01eb965,line5f,Machines
part01ecbcd,line49,Liquids
part01f86ce,linea3,Marketables
part0203f55,lined6,Liquids
part020a371,linea3,Marketables
part0214a44,line55,SpareParts
part021b78c,line4c,Liquids
part0220222,lined6,Liquids
part0225dad,lined6,Liquids
part022e931,line55,SpareParts
part0236802,line55,SpareParts
part023c967,line49,Liquids
part023eabb,line49,Liquids
part0247c55,line4b,Machines
part024fbd1,line55,SpareParts
part024ff1f,line55,SpareParts
part0257d83,line49,Liquids
part025940c,line55,SpareParts
part0259bee,line4c,Liquids
part025f671,lined6,Liquids
part02608bc,linec1,Marketables
part0264aa0,line55,SpareParts
part026657f,line55,SpareParts
part02731b3,line55,SpareParts
part0275794,linea3,Marketables
part0286749,linea3,Marketables
part028c0f0,linea3,Marketables
part028db70,linec1,Marketables
part02913d,lined6,Liquids
part02a4b40,lineb8,Machines
part02a9bf3,lined6,Liquids
part02ac2d2,linec1,Marketables
part02b101a,linea3,Marketables
part02ba36f,linea3,Marketables
part02c0176,lined6,Liquids
part02c6f0f,linea3,Marketables
part02d29c4,lined6,Liquids
part02d633b,line61,Machines
part02dd99d,line55,SpareParts
part02df563,linea3,Marketables
part02e1a6b,linec8,Machines
part02e3bfa,line6d,Machines
part02e5515,line4c,Liquids
part02e80e9,lineb8,Machines
part02e923a,line49,Liquids
part02f3816,line9b,Machines
part02f6dcb,line4c,Liquids
part030384e,line55,SpareParts
part03062d9,lined6,Liquids
part030eb98,line4b,Machines
part03163b4,line55,SpareParts
part03164d1,line4c,Liquids
part0316ece,linea3,Marketables
part0318d32,linec1,Marketables
part031ff50,line55,SpareParts
part032c38a,linea3,Marketables
part032c868,linec1,Marketables
part032e0fb,line49,Liquids
part033728c,line55,SpareParts
part03374de,line55,SpareParts
part034136f,linea3,Marketables
part0346847,linec1,Marketables
part034c00b,lined6,Liquids
part034f65c,line6d,Machines
part035376f,linea3,Marketables
part0367d31,linef3,Machines
part0370d04,line55,SpareParts
part0374c34,line55,SpareParts
part0379c70,line60,Machines
part037b63d,linea3,Marketables
part037d216,line49,Liquids
part037e6e4,line49,Liquids
part0384b89,linea3,Marketables
part0386d1a,line49,Liquids
part0389ab4,linec1,Marketables
part0394a2c,line55,SpareParts
part0397eca,line55,SpareParts
part039b44,linea3,Marketables
part03a07b2,linea3,Marketables
part03a2673,line55,SpareParts
part03aa525,lined6,Liquids
part03ab3e7,line55,SpareParts
part03ae500,line55,SpareParts
part03b3827,line49,Liquids
part03b94d7,line55,SpareParts
part03bdc53,line6d,Machines
part03c1a,line55,SpareParts
part03c1da6,line55,SpareParts
part03c2658,linea3,Marketables
part03c659c,lined6,Liquids
part03ca9a4,line55,SpareParts
part03caed,linea3,Marketables
part03d3648,lineb8,Machines
part03dabb6,line55,SpareParts
part03e417d,line49,Liquids
part03ec0e3,line55,SpareParts
part03ec4c9,line55,SpareParts
part03ef25e,linea3,Marketables
part03f7a74,line55,SpareParts
part03fe192,linec1,Marketables
part03ff9a1,lined6,Liquids
part040365d,line55,SpareParts
part04055a3,lined6,Liquids
part040807e,linec1,Marketables
part040dd60,line55,SpareParts
part040f96e,line49,Liquids
part0411d22,line55,SpareParts
part04157e0,linea3,Marketables
part0416a49,line9b,Machines
part041a759,lined6,Liquids
part041d20,line60,Machines
part041d6ba,line90,Machines
part041ec5b,line55,SpareParts
part04216c,line55,SpareParts
part0432ea5,line55,SpareParts
part04465bc,line55,SpareParts
part044c56d,linec1,Marketables
part044cfb4,linea3,Marketables
part044f7aa,line55,SpareParts
part0450ac3,line55,SpareParts
part0459498,linea3,Marketables
part045c50,line55,SpareParts
part045c854,line55,SpareParts
part045d2fb,line55,SpareParts
part046a0a0,line55,SpareParts
part046ee8e,line55,SpareParts
part0475ae1,line9b,Machines
part0476646,line55,SpareParts
part04774b5,line7a,Machines
part048f338,linea3,Marketables
part0490c22,line49,Liquids
part049d621,line55,SpareParts
part049e685,line2f,Machines
part04a0e8b,line60,Machines
part04a8174,lined6,Liquids
part04aa53,line49,Liquids
part04ac0fb,line49,Liquids
part04b9948,line49,Liquids
part04c871b,linea3,Marketables
part04d20ed,linea3,Marketables
part04d84a9,linea3,Marketables
part04da31b,linea3,Marketables
part04df5e1,lineb8,Machines
part04e1e23,line4b,Machines
part04e8f27,linec1,Marketables
part04e995c,lined6,Liquids
part04ecd5b,line55,SpareParts
part04ef2f7,line55,SpareParts
