shipID,plannedShipDate,actualShipDate,partID,quantity
10001,11/6/2013,10/4/2013,part92b16c5,6
10002,10/15/2013,10/4/2013,part66983b,2
10003,10/25/2013,10/7/2013,part8e36f25,1
10004,10/14/2013,10/8/2013,part30f5de0,1
10005,10/14/2013,10/8/2013,part9d64d35,6
10006,10/14/2013,10/8/2013,part6cd6167,15
10007,10/14/2013,10/8/2013,parta4d5fd1,2
10008,10/14/2013,10/8/2013,part08cadf5,1
10009,10/14/2013,10/8/2013,part5cc4989,10
10010,10/14/2013,10/8/2013,part912ae4c,1
10011,10/14/2013,10/9/2013,partfcfe2d4,2
10011,10/14/2013,10/9/2013,part108a3be,2
10011,10/14/2013,10/9/2013,part1fedfcf,2
10011,10/14/2013,10/9/2013,part2a9bf31,2
10011,10/14/2013,10/9/2013,parta163c,2
10011,10/14/2013,10/9/2013,partc2abde1,2
10011,10/14/2013,10/9/2013,part99ddd29,2
10012,10/14/2013,10/9/2013,part3d1d50d,1
10012,10/14/2013,10/9/2013,part8ba6453,5
10012,10/14/2013,10/9/2013,part85d3a7b,2
10012,10/14/2013,10/9/2013,parteb8f3a3,12
10013,10/14/2013,10/9/2013,part8acdaf4,2
10013,10/14/2013,10/9/2013,partd3c0046,2
10013,10/14/2013,10/9/2013,part18b2802,2
10013,10/14/2013,10/9/2013,part509c0fc,1
10013,10/14/2013,10/9/2013,partaf8fb76,1
10013,10/14/2013,10/9/2013,part7547885,1
10013,10/14/2013,10/9/2013,partb864176,1
10013,10/14/2013,10/9/2013,partfdc6e92,1
10014,10/14/2013,10/10/2013,partc623cbe,1
10014,10/14/2013,10/10/2013,partcdd212f,1
10014,10/14/2013,10/10/2013,part1fedfcf,4
10014,10/14/2013,10/10/2013,part7496932,1
10014,10/14/2013,10/10/2013,partf194391,1
10014,10/14/2013,10/10/2013,parte394e24,1
10014,10/14/2013,10/10/2013,partb50e0af,1
10014,10/14/2013,10/10/2013,part4637200,1
10014,10/14/2013,10/10/2013,part0c1c740,1
10014,10/14/2013,10/10/2013,part48b3217,1
10014,10/14/2013,10/10/2013,part15541ff,1
10014,10/14/2013,10/10/2013,part6527169,1
10014,10/14/2013,10/10/2013,part9146d41,1
10014,10/14/2013,10/10/2013,partaad15f,1
10014,10/14/2013,10/10/2013,part8a0bfef,1
10014,10/14/2013,10/10/2013,partd9f75b1,1
10014,10/14/2013,10/10/2013,part0dd6fb2,1
10014,10/14/2013,10/10/2013,part789083,1
10014,10/14/2013,10/10/2013,parte1c733,1
10014,10/14/2013,10/10/2013,part88c297,1
10014,10/14/2013,10/10/2013,partcbde9e0,1
10014,10/14/2013,10/10/2013,part00a9bab,1
10014,10/14/2013,10/10/2013,part18e8315,1
10014,10/14/2013,10/10/2013,part0379c70,1
10014,10/14/2013,10/10/2013,part0f85d3a,1
10014,10/14/2013,10/10/2013,part7547885,2
10014,10/14/2013,10/10/2013,part9fc75d0,1
10015,10/14/2013,10/10/2013,partba17b90,1
10015,10/14/2013,10/10/2013,part31d1cf5,1
10015,10/14/2013,10/10/2013,part0afd0cb,1
10015,10/14/2013,10/10/2013,part247e595,1
10015,10/14/2013,10/10/2013,part666fa81,5
10015,10/14/2013,10/10/2013,part62ad5e2,10
10015,10/14/2013,10/10/2013,parta3d6cd2,1
10015,10/14/2013,10/10/2013,partb45f999,1
10015,10/14/2013,10/10/2013,part1fedfcf,2
10015,10/14/2013,10/10/2013,partb03e56d,1
10015,10/14/2013,10/10/2013,partd33fb4c,1
10015,10/14/2013,10/10/2013,part759815b,1
10016,10/15/2013,10/10/2013,partbb67239,1
10016,10/15/2013,10/10/2013,part2bf2383,1
10016,10/15/2013,10/10/2013,partf8efdb9,1
10016,10/15/2013,10/10/2013,partaa2af4,1
10016,10/15/2013,10/10/2013,part0dcfff8,1
10016,10/15/2013,10/10/2013,part4511209,1
10016,10/15/2013,10/10/2013,partec9243,1
10016,10/15/2013,10/10/2013,part4db7ce3,1
10016,10/15/2013,10/10/2013,partc77d34,1
10016,10/15/2013,10/10/2013,part860b221,1
10017,10/15/2013,10/10/2013,part54d1a21,1
10017,10/15/2013,10/10/2013,part71da2df,2
10017,10/15/2013,10/10/2013,partc653823,1
10017,10/15/2013,10/10/2013,partb6208b5,1
10017,10/15/2013,10/10/2013,part7fa02f8,1
10017,10/15/2013,10/10/2013,partb5dfc71,1
10017,10/15/2013,10/10/2013,part1fedfcf,5
10017,10/15/2013,10/10/2013,part8100a77,1
10017,10/15/2013,10/10/2013,parte3f9e7c,4
10017,10/15/2013,10/10/2013,part096f2a1,1
10017,10/15/2013,10/10/2013,part171a01d,1
10017,10/15/2013,10/10/2013,part9e89fff,1
10017,10/15/2013,10/10/2013,part957826e,1
10017,10/15/2013,10/10/2013,part99694e,1
10017,10/15/2013,10/10/2013,part03ec4c9,2
10017,10/15/2013,10/10/2013,part37c7b0e,1
10017,10/15/2013,10/10/2013,part35b33ed,1
10017,10/15/2013,10/10/2013,part8f8889e,1
10017,10/15/2013,10/10/2013,partf4a75c2,1
10017,10/15/2013,10/10/2013,partcea49fd,1
10018,10/15/2013,10/10/2013,part66983b,18
10019,10/14/2013,10/10/2013,partefbe62f,75
10020,10/14/2013,10/10/2013,part7b93344,1
10020,10/14/2013,10/10/2013,part7fa02f8,1
10020,10/14/2013,10/10/2013,part1fedfcf,2
10020,10/14/2013,10/10/2013,part0987f63,1
10020,10/14/2013,10/10/2013,partb50e0af,2
10020,10/14/2013,10/10/2013,part791c237,1
10020,10/14/2013,10/10/2013,part843e550,1
10020,10/14/2013,10/10/2013,part909d8d5,1
10020,10/14/2013,10/10/2013,part1cd5a8b,1
10020,10/14/2013,10/10/2013,parta66fdb,1
10020,10/14/2013,10/10/2013,partd43369e,1
10021,10/14/2013,10/10/2013,part6def1f0,100
10021,10/14/2013,10/10/2013,partaca738d,10
10021,10/14/2013,10/10/2013,part8516c65,30
10021,10/14/2013,10/10/2013,part3970e13,100
10022,10/15/2013,10/10/2013,part1fedfcf,1
10023,10/15/2013,10/10/2013,partd23422f,1
10024,10/15/2013,10/10/2013,part626d58a,1
10025,10/15/2013,10/10/2013,part1fedfcf,1
10025,10/15/2013,10/10/2013,part8bc1dd1,1
10025,10/15/2013,10/10/2013,part5466777,1
10026,10/15/2013,10/10/2013,parta994851,2
10027,10/15/2013,10/10/2013,partc6c0230,1
10028,10/15/2013,10/10/2013,partee5e59b,2
10029,10/15/2013,10/10/2013,part328409,2
10030,10/14/2013,10/10/2013,partee710db,1
10031,10/15/2013,10/10/2013,part830de9b,1
10032,10/14/2013,10/10/2013,part6ca9771,1
10032,10/14/2013,10/10/2013,partbe47f84,2
10032,10/14/2013,10/10/2013,partfb3a13c,2
10032,10/14/2013,10/10/2013,part4013a30,1
10032,10/14/2013,10/10/2013,partd35e678,1
10033,10/14/2013,10/10/2013,part54d1a21,1
10033,10/14/2013,10/10/2013,partc653823,1
10033,10/14/2013,10/10/2013,partb6208b5,1
10033,10/14/2013,10/10/2013,partb5dfc71,1
10033,10/14/2013,10/10/2013,part062324f,1
10033,10/14/2013,10/10/2013,part1fedfcf,4
10033,10/14/2013,10/10/2013,parte3f9e7c,4
10033,10/14/2013,10/10/2013,parte0eff17,1
10033,10/14/2013,10/10/2013,part720e64e,1
10033,10/14/2013,10/10/2013,parta082e1b,1
10033,10/14/2013,10/10/2013,part66bb851,1
10033,10/14/2013,10/10/2013,part783a2cc,1
10033,10/14/2013,10/10/2013,partcb14710,1
10033,10/14/2013,10/10/2013,part843e550,1
10033,10/14/2013,10/10/2013,part451bb96,1
10033,10/14/2013,10/10/2013,part371b72e,1
10033,10/14/2013,10/10/2013,part03ec4c9,1
10033,10/14/2013,10/10/2013,partcea49fd,1
10034,10/15/2013,10/10/2013,part4b28978,1
10034,10/15/2013,10/10/2013,part48f7840,1
10034,10/15/2013,10/10/2013,part7a46c9,1
10034,10/15/2013,10/10/2013,partcd27c29,1
10034,10/15/2013,10/10/2013,part8f6a89a,1
10034,10/15/2013,10/10/2013,partf315135,1
10034,10/15/2013,10/10/2013,partd16324f,1
10034,10/15/2013,10/10/2013,parta1102d9,1
10034,10/15/2013,10/10/2013,part9870fea,1
10034,10/15/2013,10/10/2013,partfdda86c,1
10034,10/15/2013,10/10/2013,part36dea6d,1
10034,10/15/2013,10/10/2013,part5fe1c45,1
10034,10/15/2013,10/10/2013,part950c904,1
10034,10/15/2013,10/10/2013,parteec357c,1
10034,10/15/2013,10/10/2013,partba76e17,1
10034,10/15/2013,10/10/2013,partaf8fb76,1
10034,10/15/2013,10/10/2013,part8c0d4d1,1
10034,10/15/2013,10/10/2013,part7547885,2
10035,10/15/2013,10/10/2013,part1fedfcf,10
10035,10/15/2013,10/10/2013,parte8bf0c8,1
10035,10/15/2013,10/10/2013,part4bfb04d,1
10035,10/15/2013,10/10/2013,partb8509b1,2
10035,10/15/2013,10/10/2013,partd9761a0,2
10035,10/15/2013,10/10/2013,part6620d99,2
10035,10/15/2013,10/10/2013,part2ed5404,2
10035,10/15/2013,10/10/2013,part909d8d5,2
10035,10/15/2013,10/10/2013,part0064ea5,2
10035,10/15/2013,10/10/2013,part2161c74,2
10035,10/15/2013,10/10/2013,partd578ab3,2
10035,10/15/2013,10/10/2013,part15541ff,2
10035,10/15/2013,10/10/2013,part9146d41,4
10035,10/15/2013,10/10/2013,part0c43e79,2
10035,10/15/2013,10/10/2013,part4b61f3c,2
10035,10/15/2013,10/10/2013,partd6aa798,2
10035,10/15/2013,10/10/2013,part5aef88,2
10035,10/15/2013,10/10/2013,part51fe4ba,2
10036,10/15/2013,10/10/2013,part03a07b2,8
10036,10/15/2013,10/10/2013,part1fedfcf,4
10036,10/15/2013,10/10/2013,partda19978,1
10036,10/15/2013,10/10/2013,partdb0325,1
10036,10/15/2013,10/10/2013,partd9761a0,1
10036,10/15/2013,10/10/2013,part6620d99,1
10036,10/15/2013,10/10/2013,part2ed5404,1
10036,10/15/2013,10/10/2013,part1d3c56,1
10036,10/15/2013,10/10/2013,part3054e99,1
10036,10/15/2013,10/10/2013,part3a35c4,1
10036,10/15/2013,10/10/2013,parte5a7c40,1
10036,10/15/2013,10/10/2013,part46f4c50,1
10036,10/15/2013,10/10/2013,part0082ef7,1
10036,10/15/2013,10/10/2013,part909d8d5,1
10036,10/15/2013,10/10/2013,parta768a76,1
10036,10/15/2013,10/10/2013,partd578ab3,1
10036,10/15/2013,10/10/2013,part15541ff,1
10036,10/15/2013,10/10/2013,part9146d41,1
10036,10/15/2013,10/10/2013,part33036cc,1
10036,10/15/2013,10/10/2013,partd9ed765,1
10037,10/15/2013,10/10/2013,part9d69467,5
10038,10/14/2013,10/10/2013,part829f811,1
10039,10/14/2013,10/10/2013,partc954572,1
10039,10/14/2013,10/10/2013,partb80151f,1
10039,10/14/2013,10/10/2013,part437c46,1
10039,10/14/2013,10/10/2013,part1fedfcf,1
10039,10/14/2013,10/10/2013,part9602a43,1
10039,10/14/2013,10/10/2013,part7872016,1
10039,10/14/2013,10/10/2013,partb0a59e6,1
10039,10/14/2013,10/10/2013,partd7d5252,1
10040,10/15/2013,10/10/2013,parta8dbf7,1
